Employment,Country,Student,EdLevel,DevType,YearsCode,CompTotal,CompFreq,ConvertedComp,WorkWeekHrs,Age,Gender,Ethnicity,NormalizedAnnualCompensation
full-time,Netherlands,No,Bachelors degree,Developer,16,,Monthly,,45,30,Man,White,
full-time,United States,Yes,No degree,full-stack,8,140000,Yearly,140000,40,32,Woman,Asian,140000
full-time,United States,No,Bachelors degree,Developer,6,105000,Yearly,105000,40,23,Man,White,105000
full-time,Bangladesh,No,Masters degree ,Developer,15,2500,Monthly,30000,45,34,Man,Asian,30000
full-time,Spain,Yes,Masters degree ,full-stack,7,19000,Yearly,21769,38,34,Man,White,19000
full-time,Israel,No,Bachelors degree,Developer,8,30000,Monthly,98964,45,31,Man,White,360000
full-time,Ukraine,,No degree,Academic researcher,20,4000,Monthly,48000,,47,Man,White,48000
full-time,France,No,Other doctoral degree ,Developer,23,440000,Monthly,50700,40,35,Man,Native,5280000
full-time,Germany,No,Bachelors degree,Developer,7,57000,Yearly,65308,40,24,Man,White,57000
full-time,Russian Federation,No,No degree,Developer,7,250000,Monthly,45828,40,33,Man,Black,3000000
full-time,Israel,No,Bachelors degree,Data scientist or machine learning specialist,5,26000,Monthly,85776,42,30,Man,Middle Eastern,312000
full-time,Sweden,No,Bachelors degree,full-stack,5,39000,Monthly,51696,40,30,Man,White,468000
full-time,United States,No,Bachelors degree,Developer,12,55000,Yearly,55000,40,28,Man,White,55000
full-time,Mexico,No,No degree,Developer,20,62000,Monthly,38952,40,35,Man,Hispanic,744000
full-time,France,No,Masters degree ,Developer,6,3418,Monthly,46992,39,23,Man,White,41016
full-time,Brazil,No,Bachelors degree,full-stack,14,170000,Yearly,46442,40,33,Man,Hispanic,170000
full-time,France,No,,Developer,7,48000,Yearly,54996,45,25,Man,White,48000
full-time,United States,No,Bachelors degree,full-stack,4,125000,Yearly,125000,45,26,Man,White,125000
full-time,Poland,No,Bachelors degree,Developer,8,12600,Monthly,40404,45,25,Man,White,151200
full-time,Pakistan,No,Bachelors degree,Developer,6,157000,Monthly,13608,60,29,Man,Asian,1884000
full-time,France,No,Bachelors degree,Developer,14,55000,Yearly,63016,35,33,Man,White,55000
full-time,United States,No,No degree,Developer,10,100000,Yearly,100000,40,40,Man,White,100000
full-time,Egypt,No,Bachelors degree,Developer,6,,Monthly,,35,25,Man,Middle Eastern,
full-time,Brazil,No,Bachelors degree,full-stack,5,3000,Monthly,9840,40,37,Man,Hispanic,36000
full-time,India,No,Masters degree ,Data scientist or machine learning specialist,7,6750000,Yearly,94451,50,26,Man,Asian,6750000
full-time,Australia,No,Bachelors degree,full-stack,30,104000,Yearly,75431,37.5,57,Man,White,104000
full-time,Italy,No,Bachelors degree,Developer,22,23800,Yearly,27269,40,32,Man,,23800
full-time,France,No,Bachelors degree,full-stack,3,2500,Monthly,34368,35,26,Man,White,30000
full-time,United States,No,Masters degree ,DevOps specialist,Less than 1 year,140000,Yearly,140000,80,38,Man,White,140000
full-time,United States,No,No degree,Database administrator,4,113000,Yearly,113000,38,28,Man,White,113000
full-time,India,Yes,Masters degree ,full-stack,10,100000,Monthly,16788,40,27,Man,Asian,1200000
full-time,United States,No,Bachelors degree,full-stack,15,165000,Yearly,165000,40,38,Man,White,165000
full-time,United States,No,Bachelors degree,Developer,35,135000,Yearly,135000,44,52,Man,White,135000
full-time,United States,No,Secondary school,full-stack,15,5666,Monthly,67992,45,30,Man,White,67992
full-time,Australia,No,Bachelors degree,Designer,21,7000,Monthly,60924,40,41,Man,,84000
full-time,United States,Yes,No degree,System administrator,5,30000,Yearly,30000,44,22,Man,White,30000
full-time,Hungary,No,Masters degree ,full-stack,32,600000,Monthly,25980,32,48,Man,White,7200000
full-time,United States,No,Masters degree ,Developer,10,118000,Yearly,118000,40,31,Man,Asian,118000
full-time,France,No,Professional degree,Developer,27,110000,Yearly,110509,42,49,Man,White,110000
full-time,India,No,Masters degree ,Developer,6,750000,Yearly,10495,40,27,Man,,750000
full-time,Spain,No,Masters degree ,Developer,12,46600,Yearly,53392,40,30,Man,White,46600
full-time,India,No,Masters degree ,Developer,14,900,Monthly,10800,40,24,Man,Asian,10800
full-time,United States,No,Professional degree,Developer,17,154000,Yearly,154000,40,32,Man,White,154000
full-time,United States,No,Bachelors degree,Developer,24,92000,Yearly,92000,40,43,Man,White,92000
full-time,Brazil,,Masters degree ,Academic researcher,13,8716,Monthly,28572,50,33,Man,Multiracial,104592
full-time,New Zealand,No,Secondary school,Data scientist or machine learning specialist,17,125000,Yearly,86212,40,35,Man,White,125000
full-time,Sweden,No,Masters degree ,Designer,34,64000,Monthly,84840,40,44,Man,White,768000
full-time,United States,No,No degree,Database administrator,5,40000,Yearly,40000,35,21,Non-binary,White,40000
full-time,Australia,No,Bachelors degree,Developer,2,75000,Yearly,54397,38,27,Woman,White,75000
full-time,Switzerland,No,Masters degree ,Developer,12,96000,Yearly,96445,42,28,Man,White,96000
full-time,India,No,Masters degree ,Developer,10,,Monthly,,40,29,Woman,Asian,
full-time,New Zealand,No,Associate degree,full-stack,4,70000,Yearly,48279,37.5,32,Man,Hispanic,70000
full-time,United Kingdom,No,Masters degree ,Developer,4,34000,Yearly,44488,40,28,Man,White,34000
full-time,United States,No,Bachelors degree,Developer,20,125000,Yearly,125000,35,51,Man,White,125000
full-time,Hong Kong (S.A.R.),No,Bachelors degree,full-stack,4,26000,Monthly,39756,40,24,Woman,Asian,312000
full-time,United States,No,Bachelors degree,full-stack,30,125000,Yearly,125000,40,41,Man,White,125000
